id,semestre,estatus,interes,genero,pronombres,edad,mayor,menor,buscando,pelicula,Reggaeton,Electrónica,Pop,Instrumental,Rock,Metal,Cumbia,Kpop,Banda,anime,videojuegos,bailar,Futbol,Basquetbol,Baseball,Futbol Americano,Natación,Tennis,Ciclismo,No,Otro,Golf,taco,bbt,animal,helado,celebracion,estacion,pizza,astrologia,signo,cocinar,cocinen,perrogato,pelilibros,subdub,temperatura,tiburon,poderes,caracteristicapareja,caracteristica
1133,9,Soltero,Mujeres,Masculino,Él,23,Sí,Sí,Algo Casual,Suspenso,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,No,No,"Sí pero no sé bailar",VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Carnitas,Penny,Tiburón,Nuez,San Valentín,Otoño,No,No,Libra,Sí,Sí,Perros,Libro,Subtitulada,Frio,Marcus Dantus,Manipular el tiempo,Interesante,Interesante
1134,4,Soltero,"Mujeres, Hombres, No binarixs, Género fluido, Estoy aquí en busca de amigxs",Femenino,Ella,20,Sí,Sí,Algo Casual,Drama,VERDADERO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,Sí,Sí,Sí,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,Barbacoa,Amy,Lobo,Napolitano,Día de la Independencia,Primavera,Sí,Sí,Acuario,No,Sí,Perros,Película,Subtitulada,Frio,Arturo Elías Ayub,Teletransporte,Alegría,Confiable
1135,2,Soltero,Hombres,Femenino,Ella,19,Sí,Sí,Pareja,Suspenso,VERDADERO,VERDADERO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,No,No,"Sí pero no sé bailar",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Carne asada,Bernadette,Lobo,Nuez,San Valentín,Verano,Sí,Sí,Virgo,Sí,Sí,Perros,Libro,Subtitulada,Calor,Carlos Bremer,Volar,Respeto,Divertido
1136,9,Soltero,Mujeres,Masculino,Él,22,Sí,Sí,Pareja,Suspenso,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,No,Sí,"Sí pero no sé bailar",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Carnitas,Ninguno,Pingüino,Chocolate,Día de la Independencia,Verano,Sí,No,Piscis,Sí,Sí,Perros,Libro,Subtitulada,Calor,Carlos Bremer,Manipular el tiempo,Alegría,Empátic@
1137,4,Soltero,Hombres,Femenino,Ella,19,Sí,Sí,Pareja,Suspenso,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,No,No,"Sí pero no sé bailar",FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Barbacoa,Penny,Tigre,Chocolate,San Valentín,Otoño,Sí,No,Piscis,Sí,Sí,Perros,Película,Subtitulada,Frio,Carlos Bremer,Telekinesis,Diversión,Alegre
1138,2,Soltero,Hombres,Masculino,Ella,19,Sí,No,Pareja,Acción,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,No,Sí,Sí,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Carnitas,Ninguno,Lobo,Pistache,Spring Break,Otoño,Sí,No,Géminis,Sí,Sí,Gatos,Película,Doblada,Calor,Emmanuel,Teletransporte,Respeto,Respetuoso
1139,4,Soltero,Hombres,Femenino,Ella,19,Sí,No,Pareja,Drama,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,No,No,Sí,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,Pastor,Ninguno,Pingüino,Chocolate,San Valentín,Verano,No,No,Cáncer,No,Sí,Perros,Película,Subtitulada,Calor,Carlos Bremer,Teletransporte,Interesante,Alegre
1140,4,Soltero,Hombres,Femenino,Ella,19,Sí,Sí,Pareja,Comedia,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,No,No,Sí,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Pastor,Penny,Pingüino,Chocolate,San Valentín,Verano,Sí,Sí,Cáncer,Sí,Sí,Perros,Libro,Subtitulada,Calor,Arturo Elías Ayub,Manipular el tiempo,Diversión,Empátic@
1141,2,Soltero,"Mujeres, No binarixs, Género fluido, Estoy aquí en busca de amigxs",No binarix,Él,19,Sí,Sí,Amistad,Acción,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,Sí,Sí,"Sí pero no sé bailar",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Pastor,Ninguno,Ballena,Cookies and cream,Día de la Independencia,Invierno,Sí,No,Capricornio,Sí,Sí,Gatos,Película,Subtitulada,Frio,Patricia Armendáriz,Manipular el tiempo,Cariño,Empátic@
1142,4,Soltero,"Hombres, Estoy aquí en busca de amigxs",Femenino,Ella,19,Sí,Sí,Pareja,Suspenso,VERDADERO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,No,Sí,Sí,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,Pastor,Penny,Lobo,Chocolate,Halloween,Otoño,Sí,Sí,Aries,Sí,Sí,Perros,Libro,Subtitulada,Frio,Arturo Elías Ayub,Dinero como el batman,Respeto,Empátic@
